AppID|SteamName|GameFolder|SavePath1|SaveFolder1|ConfigPath1|ConfigFolder1|SavePath2|SaveFolder2|ConfigPath2|ConfigFolder2|SavePath3|SaveFolder3|ConfigPath3|ConfigFolder3
60|Ricochet|Half-Life|[N/A]|[N/A]|$STEAMAPPS/ricochet|ricochet|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
248820|Risk of Rain|Risk of Rain|~/.config/Risk_of_Rain|Risk_of_Rain|~/.config/Risk_of_Rain|Risk_of_Rain|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
270450|Robot Roller-Derby Disco Dodgeball|Disco Dodgeball|[N/A]|[N/A]|~/.config/unity3d/82 Apps/Disco Dodgeball|Disco Dodgeball|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
241600|Rogue Legacy|Rogue Legacy|~/.local/share/RogueLegacy|RogueLegacy|~/.config/RogueLegacy|RogueLegacy|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
9480|Saints Row 2|Saints Row 2|~/.local/share/volition/saintsrow2/AppData/Saints Row 2|Saints Row 2|~/.local/share/volition/saintsrow2/AppData/Saints Row 2|Saints Row 2|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
206420|Saints Row IV|Saints Row IV|$STEAMUSER/206420|206420|~/.local/share/vpltd/SaintsRow4|SaintsRow4|[N/A]|[N/A]|$STEAMAPPS/display.ini|Saints Row IV|[N/A]|[N/A]|[N/A]|[N/A]
301910|Saints Row: Gat out of Hell|Saints Row Gat out of Hell|$STEAMUSER/301910|301910|~/.local/share/vpltd/SaintsRow4GooH|SaintsRow4GooH|[N/A]|[N/A]|$STEAMAPPS/display.ini|Saints Row Gat out of Hell|[N/A]|[N/A]|[N/A]|[N/A]
55230|Saints Row: The Third|Saints Row the Third|$STEAMUSER/55230|55230|~/.local/share/vpltd/SaintsRow3|SaintsRow3|[N/A]|[N/A]|$STEAMAPPS/display.ini|Saints Row the Third|[N/A]|[N/A]|[N/A]|[N/A]
210770|Sanctum 2|Sanctum2|~/.local/share/Sanctum2|Sanctum2|$STEAMAPPS/SanctumGame/Config|Config|$STEAMUSER/210770|210770|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
259530|Savant - Ascent|SavantAscent|~/.config/Savant_Ascent|Savant_Ascent|~/.config/Savant_Ascent|Savant_Ascent|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
337700|SCS deORBIT|deORBIT|[UNKNOWN]|[UNKNOWN]|[UNKNOWN]|[UNKNOWN]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
233130|Shadow Warrior|Shadow Warrior|~/.local/share/Flying Wild Hog/Shadow Warrior|Shadow Warrior|~/.local/share/Flying Wild Hog/Shadow Warrior|Shadow Warrior|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
6120|Shank|Shank|~/.local/share/Shank|Shank|~/.local/share/Shank|Shank|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
326460|ShellShock Live|ShellShock Live|[N/A]|[N/A]|~/.config/unity3d/Kyle Champ/ShellShock Live|ShellShock Live|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
278460|Skyborn|Skyborn|~/.local/share/dancingdragon/skyborn|skyborn|$STEAMAPPS/Skyborn/mkxp.conf|Skyborn|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
18300|Spectraball|Spectraball|~/.config/unity3d/Shorebound Studios/Spectraball|Spectraball|~/.config/unity3d/Shorebound Studios/Spectraball|Spectraball|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
332360|Spriter Pro|Spriter|[N/A]|[N/A]|[UNKNOWN]|[UNKNOWN]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
211820|Starbound|Starbound|$STEAMAPPS/storage|storage|$STEAMAPPS/storage|storage|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
209190|Stealth Bastard Deluxe|StealthBastardDeluxe|~/.config/StealthBastard|StealthBastard|~/.config/StealthBastard|StealthBastard|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
252410|SteamWorld Dig|SteamWorld Dig|~/.local/share/SteamWorldDig|SteamWorldDig|~/.local/share/SteamWorldDig|SteamWorldDig|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
212800|Super Crate Box|supercratebox|~/.config/SuperCrateBox_YoYo|SuperCrateBox_YoYo|$STEAMAPPS/assets/options.ini|assets|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
40800|Super Meat Boy|Super Meat Boy|~/.local/share/SuperMeatBoy|SuperMeatBoy|~/.local/share/SuperMeatBoy|SuperMeatBoy|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
310700|Super Win The Game|Super Win the Game|~/.local/share/Minor Key Games/Super Win the Game/Saves|Saves|~/.local/share/Minor Key Games/Super Win the Game/Config|Config|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
490230|SWARMRIDERS|SWARMRIDERS|~/.config/SWARMRIDERS|SWARMRIDERS|~/.config/SWARMRIDERS|SWARMRIDERS|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
238210|System Shock 2|SS2|$STEAMAPPS/support/systemshock2/drive_c/Program Files/SystemShock2/save_*|save_*|~/.systemshock2/systemshock2/drive_c/Program Files/SystemShock2/*.cfg|SystemShock2|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
440|Team Fortress 2|Team Fortress 2|[N/A]|[N/A]|$STEAMAPPS/tf/cfg|cfg|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
20|Team Fortress Classic|Half-Life|[N/A]|[N/A]|$STEAMAPPS/Half-Life/tfc|tfc|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
380840|Teeworlds|Teeworlds|~/.teeworlds|.teeworlds|~/.teeworlds|.teeworlds|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
105600|Terraria|Terraria|~/.local/share/Terraria|Terraria|~/.local/share/Terraria|Terraria|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
235980|Tetrobot and Co.|Tetrobot and Co|~/.config/unity3d/Swing Swing Submarine/Tetrobot and Co|Tetrobot and Co|~/.config/unity3d/Swing Swing Submarine/Tetrobot and Co|Tetrobot and Co|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
250900|The Binding of Isaac: Rebirth|The Binding of Isaac Rebirth|~/.local/share/binding of isaac rebirth|binding of isaac rebirth|~/.local/share/binding of isaac rebirth|binding of isaac rebirth|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
221810|The Cave|TheCave|~/.local/share/doublefine/thecave|thecave|~/.local/share/doublefine/thecave|thecave|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
221910|The Stanley Parable|The Stanley Parable|$STEAMAPPS/thestanleyparable/save|save|$STEAMUSER/221910|221910|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
211260|They Bleed Pixels|they bleed pixels|~/.local/share/TheyBleedPixels|TheyBleedPixels|~/.config/TheyBleedPixels|TheyBleedPixels|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
220780|Thomas Was Alone|thomaswasalone|~/.config/unity3d/Mike Bithell/Thomas Was Alone|Thomas Was Alone|~/.config/unity3d/Mike Bithell/Thomas Was Alone|Thomas Was Alone|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
546090|Trip to Vinelands|Trip to Vinelands|~/.config/Trip_to_Vinelands|Trip_to_Vinelands|~/.config/Trip_to_Vinelands|Trip_to_Vinelands|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
1930|Two Worlds Epic Edition|Two Worlds - Epic Edition|[UNKNOWN]|[UNKNOWN]|[UNKNOWN]|[UNKNOWN]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
357070|UBERMOSH|UBERMOSH|~/.config/UBERMOSH|UBERMOSH|~/.config/UBERMOSH|UBERMOSH|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
515570|UBERMOSH Vol. 3|UBERMOSH Vol.3|~/.config/UBERMOSH_vol3|UBERMOSH_vol3|~/.config/UBERMOSH_vol3|UBERMOSH_vol3|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
444940|UBERMOSH: BLACK|UBERMOSHBLACK|~/.config/UBERMOSH_BLACK|UBERMOSH_BLACK|~/.config/UBERMOSH_BLACK|UBERMOSH_BLACK|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
233980|Unepic|Unepic|~/.local/share/Unepic/unepic|unepic|$STEAMUSER/233980|233980|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
408030|UniBall|UniBall|[N/A]|[N/A]|$STEAMAPPS/client.settings|UniBall|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
304930|Unturned|Unturned|[N/A]|[N/A]|~/.config/unity3d/Smartly Dressed Games/Unturned|Unturned|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
1510|Uplink|Uplink|~/.uplink|.uplink|~/.uplink|.uplink|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
70300|VVVVVV|VVVVVV|~/.local/share/VVVVVV|VVVVVV|~/.local/share/VVVVVV|VVVVVV|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
215080|WAKFU|Wakfu|[CLOUD-ONLY]|[CLOUD-ONLY]|[CLOUD-ONLY]|[CLOUD-ONLY]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
15620|Warhammer 40,000: Dawn of War II|Dawn of War 2|~/.local/share/feral-interactive/Dawn of War II/VFS/User/AppData/Roaming/My Games/Dawn of War 2/Saved Games|Saved Games|~/.local/share/feral-interactive/Dawn of War II/VFS/User/AppData/Roaming/My Games/Dawn of War 2|Dawn of War 2|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
204180|Waveform|Waveform|~/.local/share/Waveform|Waveform|~/.local/share/Waveform|Waveform|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
22000|World of Goo|World of Goo|~/.WorldOfGoo|.WorldOfGoo|~/.WorldOfGoo|.WorldOfGoo|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
7510|X-Blades|X-Blades|[UNKNOWN]|[UNKNOWN]|[UNKNOWN]|[UNKNOWN]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
2810|X3: Reunion|X3 - Reunion|~/.config/EgoSoft/X3/save|save|~/.config/EgoSoft/X3/save|X3|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
2820|X3: Terran Conflict|X3 Terran Conflict |~/.config/Egosoft/X3TC/save|save|~/.config/EgoSoft/X3TC/config.yaml|X3TC|~/.config/EgoSoft/X3AP/saves|saves|~/.config/EgoSoft/X3AP/config.yaml|X3AP|[N/A]|[N/A]|[N/A]|[N/A]
286100|You Have To Win The Game|You Have to Win the Game|[UNKNOWN]|[UNKNOWN]|[UNKNOWN]|[UNKNOWN]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]|[N/A]
